 # Regn popcount reference requested realised popurban requested realised land(km2) urban(km2) lowest_urban_pop_density(cap/km2)
    132009           5.           5.           5.           0.           0.        263.2          0.1         21.4
    620001         167.         167.         167.          19.          19.       2677.2         15.6        409.3
    620002          92.          92.          92.          11.          11.       8676.4          8.6         65.9
    620003         206.         206.         206.          24.          24.       2383.5         19.2        634.0
    620004         109.         109.         109.          13.          13.       8268.2         10.2         39.0
    620005         115.         115.         115.          13.          13.       6980.2         10.7         60.5
    620006         189.         189.         189.          22.          22.       4709.0         17.6        472.7
    620007          70.          70.          70.           8.           8.       7181.5          6.5        104.4
    620008         130.         130.         130.          15.          15.       4843.2         12.1        196.5
    620009         148.         148.         148.          17.          17.       4760.3         13.8         77.3
    620010         126.         126.         126.          14.          14.       1715.0         11.7        306.6
    620011         330.         330.         330.          38.          38.       3690.8         30.7       1119.5
    620012          66.          66.          66.           8.           8.       5859.9          6.1         41.4
    620013         304.         304.         304.          35.          35.       3357.1         28.3        838.4
    620014         145.         145.         145.          17.          17.       6536.0         13.5        108.1
    620015         138.         138.         138.          16.          16.       6595.4         12.8        432.6
    620016         129.         129.         129.          15.          15.       2335.7         12.0        152.8
    620020         145.         145.         145.          17.          17.        851.3         13.5       1716.8
    620017         193.         193.         193.          22.          22.       7590.9         17.9         91.0
    498001        1248.        1248.        1248.          12.          12.      33501.2          3.7         65.5
     90001           2.           2.           2.           0.           0.        590.8          0.0          5.2
     90002           1.           2.           2.           0.           0.       3147.0          0.0          0.6
     90003           5.           5.           5.           0.           0.       5546.0          0.0          1.8
     90004           1.           2.           2.           0.           0.       3623.5          0.0          0.6
     90005           2.           2.           2.           0.           0.       3324.3          0.0          1.0
     90006           9.           9.           9.           0.           0.       4654.5          0.0          3.1
     90007           0.           0.           0.           0.           0.        399.6          0.0          0.8
     90008           2.           2.           2.           0.           0.        711.2          0.0          3.1
     90009           6.           6.           6.           0.           0.       5107.5          0.0          1.8
    496021          36.          36.          36.           0.           0.      56792.7          0.1          2.1
    496019          22.          26.          26.           0.           0.      55639.8          0.1          0.8
    496020          29.          29.          29.           0.           0.      40130.9          0.1          2.1
    496018          17.          19.          19.           0.           0.      36185.4          0.1          1.1
    496002          13.          13.          13.           0.           0.       1280.1          0.0         22.8
    496014          11.          21.          21.           0.           0.      34349.0          0.1          1.4
    496015           2.          12.          12.           0.           0.      10421.5          0.0          1.4
    496013           6.          16.          16.           0.           0.      21226.7          0.1          1.0
    496012          33.          36.          36.           0.           0.      61203.6          0.1          1.7
    496017          20.          24.          24.           0.           0.      59208.9          0.1          0.6
    496016           3.           4.           4.           0.           0.       6356.1          0.0          0.8
    496003          14.          20.          20.           0.           0.      42315.5          0.1          1.0
    496005          21.          27.          27.           0.           0.      38880.0          0.1          1.1
    496004          34.          37.          37.           0.           0.      75522.9          0.1          2.0
    496010           2.          13.          13.           0.           0.      16276.1          0.1          1.0
    496001          13.          13.          13.           0.           0.        563.8          0.0         52.1
    496011          33.          34.          34.           0.           0.      61425.3          0.1          1.1
