 # region_id(#) cells(#) SQ(maximum) SQ(requested) SQ(realized)
       4    8996    637220.        80450.0        80407.4          99.9
       8     468    28158.5        6990.00        6990.00         100.0
      12   30792   0.231771E+07    81920.0        81899.9         100.0
      16       5    116.588        50.0000        50.0000         100.0
      20       8    468.604        10.0000        10.0000         100.0
      24   15008   0.125047E+07    33000.0        33000.1         100.0
      28      13    438.101        100.000        100.000         100.0
      31    1351    85133.4        20624.0        20624.0         100.0
      32       0    0.00000        272000.        0.00000           0.0
      36       0    0.00000        463480.        0.00000           0.0
      40    1441    81125.8        14700.0        14700.0         100.0
      44     232    9899.87        110.000        110.000         100.0
      48      14    765.596        60.0000        60.0000         100.0
      50    1849    136611.        84840.0        84840.0         100.0
      51     448    28409.4        5600.00        5600.00         100.0
      52      11    376.886        170.000        170.000         100.0
      56     568    26059.9        6860.00        6856.32          99.9
      60       0    0.00000        10.0000        0.00000           0.0
      64     519    38651.4        1600.00        1600.00         100.0
      68   13225   0.108108E+07    31310.0        31310.0         100.0
      70     837    51069.7        11000.0        11000.0         100.0
      72    7301    579346.        3800.00        3800.00         100.0
      76       0    0.00000        652000.        0.00000           0.0
      84     288    21519.9        990.000        990.000         100.0
      86       0    0.00000        0.00000        0.00000         100.0
      90     534    28524.9        730.000        730.000         100.0
      92       0    0.00000        40.0000        0.00000           0.0
      96      77    5808.53        130.000        130.000         100.0
     100    1769    109289.        37780.0        37780.0         100.0
     104    8592    667237.        104980.        104980.         100.0
     108     297    24590.0        13200.0        13200.0         100.0
     112    4023    203221.        62570.0        62566.6         100.0
     116    2192    177956.        38400.0        38400.0         100.0
     120    5484    464291.        71600.0        71600.1         100.0
     124       0    0.00000        521780.        0.00000           0.0
     132      93    4221.41        470.000        470.000         100.0
     136       0    0.00000        10.0000        0.00000           0.0
     140    7306    622490.        20240.0        20240.0         100.0
     144     839    65059.4        19100.0        19100.0         100.0
     148   15419   0.127311E+07    35500.0        35500.0         100.0
     152   12120    716702.        23240.0        23240.0         100.0
     156       0    0.00000       0.148657E+07    0.00000           0.0
     158     514    33874.9        8000.00        7999.16         100.0
     162       0    0.00000        0.00000        0.00000         100.0
     166       0    0.00000        0.00000        0.00000         100.0
     170   13459   0.113760E+07    45450.0        45450.1         100.0
     174      36    1628.73        1300.00        1300.00         100.0
     178    4001    340733.        5400.00        5400.01         100.0
     180   27148   0.230228E+07    78000.0        78000.3         100.0
     184       0    0.00000        60.0000        0.00000           0.0
     188     679    50852.8        5250.00        5250.00         100.0
     191    1028    54881.5        15860.0        15860.0         100.0
     192    1569    105255.        43340.0        43339.9         100.0
     196     170    9575.12        1400.00        1400.00         100.0
     203    1416    76876.3        33180.0        33180.0         100.0
     204    1369    114681.        26450.0        26449.9         100.0
