ADMIN,ISO_A3,ADMIN_2,ISO_A3_2,distance,cent_lat,cent_lon,coast_lat,coast_lon
Albania,ALB,Albania,ALB,0.54915575481443,41,20.0538191494,41.2564151060,19.5166121750
Azerbaijan,AZE,Azerbaijan,AZE,1.90399423807571,40,47.5421112905,40.0629743510,49.4326278000
,,,,1.48742331995734,,,41.8187930360,19.5916447270
Turkey,TUR,Turkey,TUR,2.29886903658314,39,35.1672393868,36.9263369810,36.0202742850
Spain,ESP,Spain,ESP,3.40435988603806,40,-3.6526370170,39.5162214210,-0.3233536450
Laos,LAO,Laos,LAO,1.93667763794719,19,103.7378719359,18.9855410830,105.6132918630
Kyrgyzstan,KGZ,Kyrgyzstan,KGZ,19.77881330867636,41,74.5416694374,41.0367699240,54.7674259770
Armenia,ARM,Armenia,ARM,3.53429715880188,40,44.9323012181,41.6621768250,41.6760360040
Denmark,DNK,Denmark,DNK,0.08426664927160,56,10.0513897028,55.8811391945,10.0535767938
Libya,LBY,Libya,LBY,3.38593607191407,27,18.0096051210,30.2777367210,18.9680281910
Tunisia,TUN,Tunisia,TUN,0.45349622013268,34,9.5546262456,34.1706403670,10.0052189460
Romania,ROU,Romania,ROU,4.00133303103820,46,24.9729418552,44.9433454450,28.8693953790
Hungary,HUN,Hungary,HUN,4.99750678391904,47,19.3967592674,45.1055362000,14.8425399100
Slovakia,SVK,Slovakia,SVK,5.97835964170596,49,19.4803829712,45.2936465520,14.5708113940
Poland,POL,Poland,POL,2.25451945543884,52,19.3943221398,54.3449160830,19.0021264980
Ireland,IRL,Ireland,IRL,0.75101502767910,53,-8.1450443525,53.2208926450,-8.8948461580
United Kingdom,GBR,United Kingdom,GBR,0.03666019907348,54,-2.8869514763,54.1620547550,-2.9203995430
Greece,GRC,Greece,GRC,0.01149927418434,39,22.9748189259,39.0407446419,22.9796471704
Zambia,ZMB,Zambia,ZMB,9.13434202556321,-13,27.7742123348,-19.5822893210,34.5532332690
Sierra Leone,SLE,Sierra Leone,SLE,1.02671051900011,9,-11.7950155783,7.7740746110,-12.4519750640
Guinea,GIN,Guinea,GIN,2.54264353621712,10,-10.9430612660,9.1854922550,-13.1577042310
Liberia,LBR,Liberia,LBR,0.91285615380304,6,-9.3198639933,5.9117699240,-10.0555313790
Central African Republic,CAF,Central African Republic,CAF,10.98166496698654,7,20.4648091971,4.1298281920,9.7568465500
Sudan,SDN,Sudan,SDN,8.03348924097973,16,29.9354015675,18.8617210960,37.4343367850
Djibouti,DJI,Djibouti,DJI,0.16730411433635,12,42.5664536523,11.5838076840,42.5485945970
Eritrea,ERI,Eritrea,ERI,0.62578488965573,15,38.8529444034,15.5936546900,39.4324650400
Austria,AUT,Austria,AUT,1.88026177877163,48,14.1306728666,45.7896182310,13.5742293630
Iraq,IRQ,Iraq,IRQ,5.11426252506072,33,43.7449770211,30.1070824240,47.9348250660
Italy,ITA,Italy,ITA,0.68947835839005,43,12.0719070927,42.3488630230,11.5390731130
Switzerland,CHE,Switzerland,CHE,2.42923420292840,47,8.2153536575,44.4321149760,8.7623804050
Iran,IRN,Iran,IRN,4.24069433706328,33,54.2769467444,36.7936058610,53.8891707690
Netherlands,NLD,Netherlands,NLD,0.75714696779139,52,5.2168142092,52.3363711610,4.5081486340
Liechtenstein,LIE,Liechtenstein,LIE,3.20423025881090,47,9.5409002886,45.4636091170,12.2727156910
Ivory Coast,CIV,Ivory Coast,CIV,2.41049335552765,8,-5.5690001859,5.2302106790,-5.3215225900
Republic of Serbia,SRB,Republic of Serbia,SRB,2.72818590188541,44,20.7892524438,42.4828962260,18.6873478520
Mali,MLI,Mali,MLI,11.97115226080130,17,-3.5390793948,5.3759626320,-3.8049210280
Senegal,SEN,Senegal,SEN,1.19907956205932,14,-14.4713060276,13.4961612000,-15.2947485020
Nigeria,NGA,Nigeria,NGA,4.60464407360367,10,8.0912392761,4.9914411480,8.1754663420
Benin,BEN,Benin,BEN,3.25020219490291,10,2.3287407309,6.6021996110,3.4812117850
Angola,AGO,Angola,AGO,3.77815200979610,-12,17.5369850124,-11.7909481750,13.7922469410
Croatia,HRV,Croatia,HRV,1.17684321612017,45,16.3957247773,44.2717959660,15.5286564460
Slovenia,SVN,Slovenia,SVN,0.84878654293885,46,14.8081039789,45.3126895200,14.5343530610
Qatar,QAT,Qatar,QAT,0.32559431889372,25,51.1868312936,25.3302269550,51.5119735040
Saudi Arabia,SAU,Saudi Arabia,SAU,5.53423211908097,24,44.5368636757,27.6124942080,48.8317977220
Botswana,BWA,Botswana,BWA,9.28871394199941,-22,23.7989867328,-22.8541805970,14.5343530610
Zimbabwe,ZWE,Zimbabwe,ZWE,4.71864993567352,-19,29.8518846206,-19.6163062480,34.5304468110
Pakistan,PAK,Pakistan,PAK,5.23109032179917,30,69.3413431057,25.5977237000,66.4370223320
Bulgaria,BGR,Bulgaria,BGR,2.25390545507605,43,25.2175125117,42.4801292990,27.4528914720
Thailand,THA,Thailand,THA,1.55592002042440,15,101.0033333553,13.6122500670,100.5978296230
San Marino,SMR,San Marino,SMR,0.21104264311162,44,12.4422225588,44.0300967470,12.6313582690
Haiti,HTI,Haiti,HTI,0.00133503744129,19,-72.6908740629,18.9371700887,-72.6914563757
Dominican Republic,DOM,Dominican Republic,DOM,0.48786350006085,19,-70.4965865385,18.4293887390,-70.6378067700
